source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
Q.csv,2025-01-27 16:00:00,6,769.1533333333333,0.0,69.83333333333333,63.086666666666666,775.5099999999999,0.0,66.99,0.0,74.0,0.0,70.0,0.0,68.44333333333334,0.0,84.0,69.0,85.0,68.0,527.3333333333334,,,,,
CC.csv,2025-01-27 16:00:00,6,1082.75,0.0,100.0,100.43666666666668,1106.763333333333,0.0,70.0,87.17999999999999,74.0,0.0,70.0,72.0,69.95666666666666,,67.0,69.0,68.0,68.0,0.0,1199.29,1.0,-1.0,,
F.csv,2025-01-27 16:00:00,6,380.6933333333333,0.0,11.166666666666666,71.69666666666667,375.04,0.0,70.0,32.31666666666667,74.0,0.0,70.0,72.0,70.12,,67.0,69.0,78.0,62.0,,,,,,
G.csv,2025-01-27 16:00:00,6,119.36333333333334,0.0,88.0,63.553333333333335,122.90000000000002,0.0,70.0,0.0,74.0,0.0,70.0,72.0,70.67333333333333,,67.0,69.0,68.0,68.0,,,,,,
P.csv,2025-01-27 16:00:00,6,548.0833333333334,0.0,39.0,87.46999999999998,538.2,0.0,82.99,100.0,74.0,0.0,70.0,0.0,72.42999999999999,0.0,67.0,69.0,85.0,68.0,,,,,,
R.csv,2025-01-27 16:00:00,6,652.6133333333333,0.0,44.5,96.03666666666668,650.5,0.0,77.99,100.0,74.0,0.0,70.0,0.0,69.17666666666666,0.0,67.0,69.0,85.0,68.0,834.3333333333334,,,,,
E.csv,2025-01-27 16:00:00,6,355.26666666666665,0.0,96.83333333333331,68.02,360.21,0.0,70.0,24.296666666666667,74.0,0.0,70.0,72.0,70.39,,67.0,69.0,68.0,68.0,529.3333333333334,,,,,
D.csv,2025-01-27 16:00:00,6,820.7133333333335,0.0,98.5,86.64333333333333,832.7199999999999,0.0,70.0,83.64333333333333,74.0,0.0,70.0,72.0,70.11666666666667,,67.0,69.0,68.0,68.0,517.6666666666666,,,,,
S.csv,2025-01-27 16:00:00,6,401.88000000000005,0.0,48.0,63.38666666666666,400.47,0.0,70.0,0.0,74.0,0.0,70.0,0.0,69.28,0.0,67.0,69.0,85.0,68.0,,,,,,
PP.csv,2025-01-27 16:00:00,6,64.27666666666666,0.0,14.0,89.55666666666667,63.57,0.0,73.99,55.14000000000001,74.0,0.0,70.0,0.0,73.76,0.0,67.0,69.0,85.0,55.0,,,,,,
